"embedding","Dim","dim_index","var_share_between_pseudobulks","covariate","r2","adj_r2","p","n","n_group","unit","p_adj"
"IterativeLSI","Dim10",10,0.00729322070365631,"Sampling_day",0.000236903193242398,-0.0205914946568984,0.915511796283101,50,50,"sample",0.987602938191756
"IterativeLSI","Dim10",10,0.00729322070365631,"Batch_C19",0.000769513186056356,-0.0426752905884631,0.895281307560544,25,25,"sample",0.895281307560544
"IterativeLSI","Dim10",10,0.00729322070365631,"Supplier",0.406026973297762,0.392527586327257,1.11105569427361e-10,91,91,"sample",2.22211138854723e-10
"IterativeLSI","Dim10",10,0.00729322070365631,"QC_tss_cutoff",0.250193888494119,0.24176910072439,4.45465382263208e-07,91,91,"sample",8.90930764526416e-07
"IterativeLSI","Dim10",10,0.00729322070365631,"QC_frag_cutoff",0.0267330628259238,0.0157974792621701,0.121479330230938,91,91,"sample",0.202465550384897
"IterativeLSI","Dim10",10,0.00729322070365631,"QC_nCells",0.0550336779391569,0.0537601384215546,0.00210611538053584,834,91,"pseudobulk (LMM)",0.0052652884513396
"IterativeLSI","Dim10",10,0.00729322070365631,"QC_meanTSS",0.0593524164835665,0.0580846973683152,9.65798679374267e-10,834,91,"pseudobulk (LMM)",1.93159735874853e-09
"IterativeLSI","Dim10",10,0.00729322070365631,"QC_meanLog10Frags",0.00065013529403344,-0.000696697407726488,0.0891967425114924,834,91,"pseudobulk (LMM)",0.111495928139366
"IterativeLSI","Dim10",10,0.00729322070365631,"QC_meanFRIP",0.0529826535023398,0.0517063498008604,0.000432701488722777,834,91,"pseudobulk (LMM)",0.000721169147871295
"Harmony","Dim1",1,0.0244974941205614,"CellType",0.970593411994306,0.970151509715532,0,834,91,"pseudobulk (LMM)",0
"Harmony","Dim1",1,0.0244974941205614,"Cohort",0.161255393484892,0.132333165674027,0.00151545906569795,91,91,"sample",0.00757729532848977
"Harmony","Dim1",1,0.0244974941205614,"Control_status",0.00158668072923638,-0.00963144645358116,0.707749616958276,91,91,"sample",0.809066584127628
