"embedding","Dim","covariate","r2_grouped","p_grouped","n_grouped","n_groups","unit_grouped","r2_cell","p_cell","n_cells","per_cell_value","p_cell_adj"
"Harmony","Dim3","Sex_predicted",0.00988875315594578,0.829363515380039,91,91,"per sample",0.000356544495335691,7.87958895743594e-23,271299,FALSE,8.75509884159549e-23
"Harmony","Dim3","Days_from_onset",0.00119986631797943,0.901390554643716,50,50,"per sample",0.000325331139063123,7.31997801697515e-11,130407,FALSE,1.04571114528216e-10
"Harmony","Dim3","QC_nCells",0.0527944361466184,8.97442198742818e-11,834,91,"per pseudobulk, sample-adjusted",0.00291921856226697,1.67994347590555e-174,271299,FALSE,2.79990579317592e-174
"Harmony","Dim3","QC_meanTSS",3.68609166975088e-05,0.86089855972766,834,91,"per pseudobulk, sample-adjusted",1.90692765961732e-05,0.0229342634942483,271299,TRUE,0.0229342634942483
"Harmony","Dim3","QC_meanLog10Frags",0.0053034142066501,0.0441531983839861,834,91,"per pseudobulk, sample-adjusted",0.00736961479408192,0,271299,TRUE,0
"Harmony","Dim3","QC_meanFRIP",0.00981691787439833,0.00592545068555627,834,91,"per pseudobulk, sample-adjusted",0.0111438026314097,0,271299,TRUE,0
"Harmony","Dim4","CellType",0.944687799793,0,834,91,"per pseudobulk, sample-adjusted",0.816849413682131,0,271299,TRUE,0
"Harmony","Dim4","Cohort",0.252004542152952,0.000127219138117504,91,91,"per sample",0.000333968419657988,1.61266126153645e-19,271299,FALSE,2.30380180219492e-19
"Harmony","Dim4","Control_status",0.0384194181780745,0.172198296777347,91,91,"per sample",1.37468393298218e-06,0.541402160311284,271299,FALSE,0.541402160311284
"Harmony","Dim4","Exposure_group",0.310144655270689,0.0322135953839591,91,91,"per sample",0.00460612015360886,8.98199974832586e-260,271299,FALSE,8.98199974832586e-260
"Harmony","Dim4","Age",0.0558437321266556,0.214789001796776,62,62,"per sample",2.12949236692823e-07,0.855394291773634,155962,FALSE,0.855394291773634
"Harmony","Dim4","Sex_observed",0.00340260012193543,0.838390832605825,62,62,"per sample",2.68940461869506e-05,0.0405567844226077,155962,FALSE,0.0450630938028975
"Harmony","Dim4","Sex_predicted",0.0224572012770714,0.781237939203405,91,91,"per sample",0.00216718753367112,5.08100052763102e-130,271299,FALSE,1.0162001055262e-129
"Harmony","Dim4","Days_from_onset",0.00968849102473518,0.901390554643716,50,50,"per sample",0.00105664718432294,7.80270965245209e-32,130407,FALSE,2.60090321748403e-31
"Harmony","Dim4","QC_nCells",0.00157442707608301,0.314920803207625,834,91,"per pseudobulk, sample-adjusted",0.000136388584717939,1.17870881838323e-09,271299,FALSE,1.30967646487026e-09
"Harmony","Dim4","QC_meanTSS",0.00749346103807612,0.0175864921568381,834,91,"per pseudobulk, sample-adjusted",0.0178165494193038,0,271299,TRUE,0
"Harmony","Dim4","QC_meanLog10Frags",0.000310179373233459,0.61120803254166,834,91,"per pseudobulk, sample-adjusted",0.000877551459831126,9.80165304215932e-54,271299,TRUE,9.80165304215932e-54
